"","Authors","Year","Title","Abstract","DOI"
"65","Kim, Sunghyun; Harman, Jason L.; Beck, Melissa R.",2022,"Diminishing sensitivity and absolute difference in value-driven attention","Kim and Beck (2020b) demonstrated that value-driven attention is based on relative value rather than absolute value, suggesting that prospect theory is relevant to our understanding of value-driven attention. To further this understanding, the present study investigated the impacts of diminishing sensitivity on value-driven attention. According to diminishing sensitivity, changes in outcomes have greater impacts nearer the reference point of 0 than farther from the point. Thus, the difference between $1 and $100 looms larger than that between $901 and $1000, due to their different ratios (100/1 > 1000/901). However, according to the absolute difference hypothesis, the differences should have similar impacts due to the absolute differences being the same (100 - 1 = 1000 - 901). Experiment 1 investigated whether diminishing sensitivity operates in the modified value-driven attention paradigm while controlling the impact of absolute differences. In the training phase, 100-point and 1000-point color targets had references of 1-point and 901-point color targets, respectively. In the test phase, 100-point color distractors attracted attention more than 1000-point color distractors, supporting the diminishing sensitivity hypothesis. Experiment 2 examined the absolute difference hypothesis while controlling the impact of diminishing sensitivity. Contrary to the absolute difference hypothesis, the test phase showed that 1000-point color distractors (compared with 10-point colors for a 990 absolute difference in the training phase) failed to attract attention more than 100-point color distractors (compared with 1-point colors, for a 99 absolute difference). These results suggest that diminishing sensitivity rather than absolute difference influences value-driven attention, further supporting the relevance of prospect theory to value-driven attention.","10.1167/jov.22.1.12"
"66","Anderson, Brian A.",2021,"An Adaptive View of Attentional Control","Public Significance Statement What we direct our attention to is not always under our control. Processes governing the involuntary control of attention can sometimes lead to distraction, which poses a fundamental challenge for the ability to account for these processes as reflective of an adaptation. This review article offers an updated cost-benefit framework for the control of attention that explains the ways in which involuntary mechanisms of attentional control provide unique advantages while minimizing the costs of distraction.Although humans can voluntarily direct their attention to particular stimuli, attention can at times be involuntarily allocated to stimuli and such attentional capture can result in unproductive distraction. A challenge to any comprehensive theory of attention is to explain how involuntary mechanisms of attentional control and their potential to produce distraction are ultimately reflective of an adaptation. Traditional arguments on this topic have appealed to a generalized cost-benefit accounting. Specifically, the cost of misallocating attention to the kinds of stimuli prioritized by involuntary mechanisms of attentional control over the long run is argued to be small in comparison with the potentially life-altering cost of failing to attend to such stimuli, which involuntary mechanisms of attentional control guard against. Our understanding of these mechanisms has undergone a revolution in recent years, findings from which point to a much more sophisticated adaptation that systematically maximizes benefits associated with automating the control of attention while minimizing unwanted distraction. In this review, I provide an updated model of the adaptive nature of involuntary mechanisms of attentional control, outlining concrete principles governing the management of specific costs and benefits. I conclude that distraction does not in general constitute a failure of attentional control but rather reflects the joint product of these adaptive principles.","10.1037/amp0000917"
"67","Mikhael, Samantha; Watson, Poppy; Anderson, Brian A.; Le Pelley, Mike E.",2021,"You Do It to Yourself: Attentional Capture by Threat-Signaling Stimuli Persists Even When Entirely Counterproductive","Recent research has demonstrated a counterproductive attentional bias toward threat-related stimuli: under conditions in which fixating on a color distractor stimulus sometimes resulted in an immediate shock, participants were nevertheless more likely to look at this threat-related distractor than a neutral distractor matched for physical salience. However, participants in that prior research may not have realized that their own actions caused delivery of aversive outcomes, such that monitoring for the threat-related distractor may not have been counterproductive from participants' perspective. In Experiment 1 of the current study, we demonstrate that the attentional bias to the threat-related distractor persists (and indeed, becomes stronger) when participants are made explicitly aware that looking at this stimulus is the sole cause of aversive events, which are otherwise avoidable. In Experiment 2 we replicate the bias in informed participants under conditions in which there is additional (reward-driven) motivation to avoid attending to distractors. Taken together with prior findings, the observation of an attentional bias toward the threat-related distractor under these explicitly counterproductive conditions provides strong support for the idea that threat-related stimuli are automatically prioritized by our attentional system.","10.1037/emo0001003"
"68","Cheng, Phillip (Xin); Rich, Anina N.; Le Pelley, Mike E.",2021,"Reward Rapidly Enhances Visual Perception","Rewards exert a deep influence on our cognition and behavior. Here, we used a paradigm in which reward information was provided at either encoding or retrieval of a brief, masked stimulus to show that reward can also rapidly modulate perceptual encoding of visual information. Experiment 1 (n = 30 adults) showed that participants' response accuracy was enhanced when a to-be-encoded grating signaled high reward relative to low reward, but only when the grating was presented very briefly and participants reported that they were not consciously aware of it. Experiment 2 (n = 29 adults) showed that there was no difference in participants' response accuracy when reward information was instead provided at the stage of retrieval, ruling out an explanation of the reward-modulation effect in terms of differences in motivated retrieval. Taken together, our findings provide behavioral evidence consistent with a rapid reward modulation of visual perception, which may not require consciousness.","10.1177/09567976211021843"
"69","Kim, Haena; Nanavaty, Namrata; Ahmed, Humza; Mathur, Vani A.; Anderson, Brian A.",2021,"Motivational Salience Guides Attention to Valuable and Threatening Stimuli: Evidence from Behavior and Functional Magnetic Resonance Imaging","Rewarding and aversive outcomes have opposing effects on behavior, facilitating approach and avoidance, although we need to accurately anticipate each type of outcome to behave effectively. Attention is biased toward stimuli that have been learned to predict either type of outcome, and it remains an open question whether such orienting is driven by separate systems for value- and threat-based orienting or whether there exists a common underlying mechanism of attentional control driven by motivational salience. Here, we provide a direct comparison of the neural correlates of value- and threat-based attentional capture after associative learning. Across multiple measures of behavior and brain activation, our findings overwhelmingly support a motivational salience account of the control of attention. We conclude that there exists a core mechanism of experience-dependent attentional control driven by motivational salience and that prior characterizations of attention as being value driven or supporting threat monitoring need to be revisited.","10.1162/jocn_a_01769"
"70","De Tommaso, Matteo; Turatto, Massimo",2022,"Testing reward-cue attentional salience: Attainment and dynamic changes","A great wealth of studies has investigated the capacity of motivationally relevant stimuli to bias attention, suggesting that reward predicting cues are prioritized even when reward is no longer delivered and when attending to such stimuli is detrimental to reward achievement. Despite multiple procedures have been adopted to unveil the mechanisms whereby reward cues gain attentional salience, some open questions remain. Indeed, mechanisms different from motivation can be responsible for the capture of attention triggered by the reward cue. In addition, we note that at present only a few studies have sought to address whether the cue attractiveness dynamically follows changes in the associated reward value. Investigating how and to what extent the salience of the reward cue is updated when motivation changes, could help shedding light on how reward-cues attain and maintain their capacity to attract attention, and therefore on apparent irrational attentive behaviors.","10.1111/bjop.12537"
"71","Pearson, Daniel; Le Pelley, Mike E.",2021,"Reward Encourages Reactive, Goal-Directed Suppression of Attention","Stimuli that signal large reward have an increased likelihood of capturing attention and gaze relative to stimuli that signal small or no reward, even when capture counterproductively prevents reward delivery. These findings suggest that a stimulus's signaling relationship with reward (the contingency between stimulus presentation and reward delivery) is a potent influence on selective attention. Recent studies have also implicated a stimulus's response relationship with reward (the contingency between orienting to a stimulus and reward delivery) in reducing capture by signals of reward. Here we show that this response pathway modulates capture by encouraging a reactive, goal-directed distractor suppression process. In a rewarded visual search task, participants demonstrated an oculomotor preference away from a distractor that had a negative response relationship with high reward (looking at the distractor caused reward omission) and toward a distractor that had no such negative response relationship, providing evidence for the role of the response relationship in suppressing capture by reward-related distractors. Analysis of the temporal dynamics of eye movements suggests that this distractor suppression process operates via a reactive mechanism of rapid disengagement (Experiment 1). Consistent with a goal-directed mechanism, the influence of the response relationship was eliminated when reward was unavailable (Experiment 2). These findings highlight the multifaceted role of stimulus-reward relationships in attentional selection.","10.1037/xhp0000946"
"72","Anderson, Brian A.; Kim, Haena; Kim, Andy J.; Liao, Ming-Ray; Mrkonja, Lana; Clement, Andrew; Gregoire, Laurent",2021,"The past, present, and future of selection history","The last ten years of attention research have witnessed a revolution, replacing a theoretical dichotomy (top-down vs. bottom-up control) with a trichotomy (biased by current goals, physical salience, and selection history). This third new mechanism of attentional control, selection history, is multifaceted. Some aspects of selection history must be learned over time whereas others reflect much more transient influences. A variety of different learning experiences can shape the attention system, including reward, aversive outcomes, past experience searching for a target, target-non-target relations, and more. In this review, we provide an overview of the historical forces that led to the proposal of selection history as a distinct mechanism of attentional control. We then propose a formal definition of selection history, with concrete criteria, and identify different components of experience-driven attention that fit within this definition. The bulk of the review is devoted to exploring how these different components relate to one another. We conclude by proposing an integrative account of selection history centered on underlying themes that emerge from our review.","10.1016/j.neubiorev.2021.09.004"
"73","Zhuang, Ran; Tu, Yanyan; Wang, Xiangzhen; Ren, Yanju; Abrams, Richard A.",2021,"Contributions of gains and losses to attentional capture and disengagement: evidence from the gap paradigm","It is known that movements of visual attention are influenced by features in a scene, such as colors, that are associated with value or with loss. The present study examined the detailed nature of these attentional effects by employing the gap paradigm-a technique that has been used to separately reveal changes in attentional capture and shifting, and changes in attentional disengagement. In four experiments, participants either looked toward or away from stimuli with colors that had been associated either with gains or with losses. We found that participants were faster to look to colors associated with gains and slower to look away from them, revealing effects of gains on both attentional capture and attentional disengagement. On the other hand, participants were both slower to look to features associated with loss, and faster to look away from such features. The pattern of results suggested, however, that the latter finding was not due to more rapid disengagement from loss-associated colors, but instead to more rapid shifting of attention away from such colors. Taken together, the results reveal a complex pattern of effects of gains and losses on the disengagement, capture, and shifting of visual attention, revealing a remarkable flexibility of the attention system.","10.1007/s00221-021-06210-9"
"74","Forster, Sophie; Lavie, Nilli",2021,"Faces are not always special for attention: Effects of response-relevance and identity","Research over the past 25 years indicates that stimulus processing is diminished when attention is engaged in a perceptually demanding task of high 'perceptual load'. These results have generalized across a variety of stimulus categories, but a controversy evolved over the question of whether perception of distractor faces (or other categories of perceptual expertise) can proceed irrespective of the level of perceptual load in the attended task. Here we identify task-relevance, and in particular identity-relevance, as a potentially important factor in explaining prior inconsistencies. In four experiments, we tested whether perceptual load in an attended letter or word task modulates the processing of famous face distractors, while varying their task-relevance. Distractor interference effects on task RTs was reduced by perceptual load not only when the faces were entirely taskirrelevant, but also when the face gender was task relevant, within a name gender classification responsecompetition task, using famous female or male distractor faces. However, when the identity associated with the famous faces was primed by the task using their names, as in prior demonstrations that face distractors are immune to the effects of perceptual load, we were able to replicate these prior findings. Our findings demonstrate a role for identity-priming by the relevant task in determining attentional capture by faces under high perceptual load. Our results also highlight the importance of considering even relatively subtle forms of task-relevance in selective attention research.","10.1016/j.visres.2021.08.002"
"75","Liu, Chang; Rotaru, Kristian; Lee, Rico S. C.; Tiego, Jeggan; Suo, Chao; Yucel, Murat; Albertella, Lucy",2021,"Distress-driven impulsivity interacts with cognitive inflexibility to determine addiction-like eating","Background: Researchers are only just beginning to understand the neurocognitive drivers of addiction-like eating behaviours, a highly distressing and relatively common condition. Two constructs have been consistently linked to addiction-like eating: distress-driven impulsivity and cognitive inflexibility. Despite a large body of addiction research showing that impulsivity-related traits can interact with other risk markers to result in an especially heightened risk for addictive behaviours, no study to date has examined how distress-driven impulsivity interacts with cognitive inflexibility in relation to addiction-like eating behaviours. The current study examines the interactive contribution of distress-driven impulsivity and cognitive inflexibility to addiction-like eating behaviours. Method: One hundred and thirty-one participants [mean age 21 years (SD = 2.3), 61.8% female] completed the modified Yale Food Addiction Scale, the S-UPPS-P impulsivity scale, and a cognitive flexibility task. A bootstrap method was used to examine the associations between distress-driven impulsivity, cognitive inflexibility, and their interaction with addiction-like eating behaviours. Results: There was a significant interaction effect between distress-driven impulsivity and cognitive flexibility (P = 0.03). The follow-up test revealed that higher distress-driven impulsivity was associated with more addiction-like eating behaviours among participants classified as cognitively inflexible only. Conclusion: The current findings shed light on the mechanisms underlying addiction-like eating behaviours, including how traits and cognition might interact to drive them. The findings also suggest that interventions that directly address distress-driven impulsivity and cognitive inflexibility might be effective in reducing risk for addiction-like eating and related disorders.","10.1556/2006.2021.00027"
"76","Bergmann, Nils; Schuboe, Anna",2021,"Local and global context repetitions in contextual cueing","In contextual cueing tasks, participants can use a repeating local context to learn to detect the target, yet most contextual cueing studies have relied on repeating global context properties. We examined whether observers can use local context repetitions in a similar manner as they use global context repetitions. In addition, we examined how reward-predicting context features modulate the use of local and global contexts. Participants searched through contexts in which either the entire context configuration or only a local context around the target repeated, intermixed with novel contexts. Half of the context items appeared in a color signaling either low or high reward. We found that local context repetitions led to comparable benefits in response times and fixation count as global context repetitions did. Surprisingly, reward magnitude did not affect performance in local nor in global contexts. The results suggest that a local chunk of distractors can be used for context learning and attention guidance in a similar manner as the global context configuration. We suggest that the proportion of repeated and novel context trials is crucial for context learning and that our combination of locally and globally repeating contexts provided an environment that facilitated learning in both context types because it allowed predicting the target location from the context in most of the trials.","10.1167/jov.21.10.9"
"77","Loganathan, Kavinash",2021,"Value-based cognition and drug dependency","Value-based decision-making is thought to play an important role in drug dependency. Achieving elevated levels of euphoria or ameliorating dysphoria/pain may motivate goal-directed drug consumption in both drug-naive and long-time users. In other words, drugs become viewed as the preferred means of attaining a desired internal state. The bias towards choosing drugs may affect one's cognition. Observed biases in learning, attention and memory systems within the brain gradually focus one's cognitive functions towards drugs and related cues to the exclusion of other stimuli. In this narrative review, the effects of drug use on learning, attention and memory are discussed with a particular focus on changes across brain-wide functional networks and the subsequent impact on behaviour. These cognitive changes are then incorporated into the cycle of addiction, an established model outlining the transition from casual drug use to chronic dependency. If drug use results in the elevated salience of drugs and their cues, the studies highlighted in this review strongly suggest that this salience biases cognitive systems towards the motivated pursuit of addictive drugs. This bias is observed throughout the cycle of addiction, possibly contributing to the persistent hold that addictive drugs have over the dependent. Taken together, the excessive valuation of drugs as the preferred means of achieving a desired internal state affects more than just decision-making, but also learning, attentional and mnemonic systems. This eventually narrows the focus of one's thoughts towards the pursuit and consumption of addictive drugs.","10.1016/j.addbeh.2021.107070"
"78","Matias, Jeremy; Quinton, Jean-Charles; Colomb, Michele; Normand, Alice; Izaute, Marie; Silvert, Laetitia",2021,"Fear of Missing Out Predicts Distraction by Social Reward Signals Displayed on a Smartphone in Difficult Driving Situations","Smartphones are particularly likely to elicit driver distraction with obvious negative repercussions on road safety. Recent selective attention models lead to expect that smartphones might be very effective in capturing attention due to their social reward history. Hence, individual differences in terms of Fear of Missing Out (FoMO) - i.e., of the apprehension of missing out on socially rewarding experiences - should play an important role in driver distraction. This factor has already been associated with self-reported estimations of greater attention paid to smartphones while driving, but the potential link between FoMO and smartphone-induced distraction has never been tested empirically. Therefore, we conducted a preliminary study to investigate whether FoMO would modulate attentional capture by reward distractors displayed on a smartphone. First, participants performed a classical visual search task in which neutral stimuli (colored circles) were associated with high or low social reward outcomes. Then, they had to detect a pedestrian or a roe deer in driving scenes with various levels of fog density. The social reward stimuli were displayed as distractors on the screen of a smartphone embedded in the pictures. The results showed a significant three-way interaction between FoMO, social reward distraction, and task difficulty. More precisely, under attention-demanding conditions (i.e., high-fog density), individual FoMO scores predicted attentional capture by social reward distractors, with longer reaction times (RTs) for high rather than low social reward distractors. These results highlight the importance to consider reward history and FoMO when investigating smartphone-based distraction. Limitations are discussed, notably regarding our sample characteristics (i.e., mainly young females) that might hamper the generalization of our findings to the overall population. Future research directions are provided.","10.3389/fpsyg.2021.688157"
"79","Kapitan, Sommer; Mittal, Sarah; Sundie, Jill M.; Beal, Daniel J.",2021,"What a great deal ... I need that! Updating need drives frugal consumers' responses to deep discounts ...","Frugal individuals are known as restrained and disciplined spenders but also exhibit strong deal-seeking tendencies. The unexpected presentation of a deep discount brings these facets of frugality into apparent conflict. How might frugal consumers resolve this conflict? Qualitative analysis of interviews with frugal consumers (study 1) led us to focus on perceptions of need as a potential resolution to these conflicting motives. Two experiments then documented a psychological process by which frugal consumers updated their perceived need for a deeply discounted offering, resulting in enhanced purchase intentions. Less frugal consumers did not exhibit such a process in the face of deep discounts. Study 2 provided evidence consistent with updating need as a mechanism for enhancing purchase intentions. Study 3 replicated these effects, provided direct evidence that need updating in response to deep discounts only occurs among frugal consumers, and revealed that the offering must be at least moderately needed.","10.1016/j.jbusres.2021.05.053"
"80","Gregoire, Laurent; Kim, Haena; Anderson, Brian A.",2021,"Punishment-Modulated Attentional Capture Is Context Specific","Attention prioritizes stimuli previously associated with punishment. Despite the importance of this process for survival and adaptation, the potential generalization of punishment-related attentional biases has been largely ignored in the literature. This study aimed to determine whether stimulus-punishment associations learned in a specific context bias attention in another context (in which the stimulus was never paired with punishment). We examined this issue using an antisaccade task in which participants had to shift their gaze in the opposite direction of a colored square during stimulus-outcome learning. Two contexts and three colors were employed. One color was associated with punishment (i.e., electrical shock) in one context and never paired with punishment in the other context. For a second color, the punishment-context relationship was reversed. A third color never paired with shock in either context (neutral) was included in Experiment 1 but absent in Experiment 2. Participants then performed search for a shape-defined target in an extinction phase (in which no shock was delivered) in which attentional bias for the colors was assessed. Context was manipulated via the background image upon which the stimuli were presented. In each of the two experiments, a bias to selectively orient toward the color that had been associated with punishment in the current context was observed, suggesting that punishment-modulated attentional priority is context specific.","10.1037/mot0000211"
"81","Orquin, Jacob L.; Lahm, Erik S.; Stojic, Hrvoje",2021,"The Visual Environment and Attention in Decision Making","Visual attention is a fundamental aspect of most everyday decisions, and governments and companies spend vast resources competing for the attention of decision makers. In natural environments, choice options differ on a variety of visual factors, such as salience, position. or surface size. However, most decision theories ignore such visual factors, focusing on cognitive factors such as preferences as determinants of attention. To provide a systematic review of how the visual environment guides attention we meta-analyze 122 effect sizes on eye movements in decision making. A psychometric meta-analysis and Top10 sensitivity analysis show that visual factors play a similar or larger role than cognitive factors in determining attention. The visual factors that most influence attention are positioning information centrally, rho = .43 (Top10 = .67), increasing the surface size, rho = .35 (Top10 = .43), reducing the set size of competing information elements, rho = .24 (Top10 = .24), and increasing visual salience. rho = .13 (Top10 = .24). Cognitive factors include attending more to preferred choice options and attributes, rho = .36 (Top10 = .31), effects of task instructions on attention, rho = .35 (Top10 = .21), and attending more to the ultimately chosen option, rho = .59 (Top10 = .26). Understanding real-world decision making will require the integration of both visual and cognitive factors in future theories of attention and decision making.","10.1037/bul0000328"
"82","Chao, Chang-Mao; McGregor, Anthony; Sanderson, David J.",2021,"Uncertainty and Predictiveness Modulate Attention in Human Predictive Learning","Attention determines which cues receive processing and are learned about. Learning, however, leads to attentional biases. In the study of animal learning, in some circumstances, cues that have been previously predictive of their consequences are subsequently learned about more than are nonpredictive cues, suggesting that they receive more attention. In other circumstances, cues that have previously led to uncertain consequences are learned about more than are predictive cues. In human learning, there is a clear role for predictiveness, but a role for uncertainty has been less clear. Here, in a human learning task, we show that cues that led to uncertain outcomes were subsequently learned about more than were cues that were previously predictive of their outcomes. This effect occurred when there were few uncertain cues. When the number of uncertain cues was increased, attention switched to predictive cues. This pattern of results was found for cues (1) that were uncertain because they led to 2 different outcomes equally often in a nonpredictable manner and (2) that were used in a nonlinear discrimination and were not predictive individually but were predictive in combination with other cues. This suggests that both the opposing predictiveness and uncertainty effects were determined by the relationship between individual cues and outcomes rather than the predictive strength of combined cues. These results demonstrate that learning affects attention; however, the precise nature of the effect on attention depends on the level of task complexity, which reflects a potential switch between exploration and exploitation of cues.","10.1037/xge0000991"
"83","Kim, Haena; Anderson, Brian A.",2021,"How Does the Attention System Learn From Aversive Outcomes?","Learning about aversive outcomes plays a role in the guidance of attention. Classical conditioning generates a bias to predictors of aversive outcomes, whereas instrumental learning potentiates a negatively reinforced avoidance behavior, which can be difficult to dissociate in the case of attention to aversively conditioned stimuli. The present study examined the relative contribution from these two learning processes to the control of attention. Participants were first provided an opportunity to avoid an electric shock by generating a saccade in the direction opposite one of two stimuli. In contradiction to the practiced avoidance behavior, such training resulted in a bias to orient toward the shock-associated stimulus, indicative of a more dominant role of classical conditioning in the control of attention. The findings are in parallel with the influence of positive reinforcement on attention. suggesting that the attention system may be guided by motivational relevance rather than a particular emotional valence.","10.1037/emo0000757"
"84","De Tommaso, Matteo; Turatto, Massimo",2021,"On the Resilience of Reward Cues Attentional Salience to Reward Devaluation, Time, Incentive Learning, and Contingency Remapping","Previous evidence has shown that after conditioning reward cues may continue to grab attention even when the paired reward is devalued, thus triggering an irrational attentional capture. Here, we investigated whether such persistent cue attentional salience, once established, can be abolished. In Experiment 1, we first confirmed that the cue attentional salience outlasted reward devaluation, and then we found that such persistent capture did not change after an incentive-learning procedure with a devalued reward. In Experiment 2, we showed that the reward cue salience remained unaltered after reward devaluation for at least 1 week. In Experiment 3, we finally succeeded in modifying the cue attentional salience when a new contingency between the cue and the reward was learned, and the reward was not devalued, such that the organism was in a high motivational state. The pattern of results emerging from our study reveals a complex interaction between attention, learning, and motivation, and may help shedding light on the learning mechanisms underlying addiction.","10.1037/bne0000423"
"85","Walle, Annabelle; Huebner, Ronald; Druey, Michel D.",2021,"Value Associations Modulate Visual Attention and Response Selection","Every day, we are confronted with a vast amount of information that all competes for our attention. Some of this information might be associated with rewards (e.g., gambling) or losses (e.g., insurances). To what extent such information, even if irrelevant for our current task, not only attracts attention but also affects our actions is still a topic under examination. To address this issue, we applied a new experimental paradigm that combines visual search and a spatial compatibility task. Although colored stimuli did not modulate the spatial compatibility effect more than gray stimuli, we found clear evidence that reward and loss associations attenuated this effect, presumably by affecting attention and response selection. Moreover, there are hints that differences in these associations are also reflected in a modulation of the spatial compatibility effect. We discuss theoretical implications of our results with respect to the influences of color, reward, and loss association on selective attention and response selection.","10.3389/fpsyg.2021.656185"
"86","Pohorala, Veronika; Enkel, Thomas; Bartsch, Dusan; Spanagel, Rainer; Bernardi, Rick E.",2021,"Sign- and goal-tracking score does not correlate with addiction-like behavior following prolonged cocaine self-administration","Rationale In classical conditioning, sign-tracking reflects behavior directed toward a conditioned stimulus (CS) in expectation of a reward (unconditioned stimulus, US); in contrast, goal-tracking describes behavior directed toward the location of delivery of a US. As cues previously paired with drugs of abuse promote drug-seeking and drug-taking behavior in both animals and humans and thus contribute to the severity of substance abuse, sign-tracking may represent a maladaptive cue-focused behavior that may increase addiction vulnerability as compared to goal-tracking. Recent studies do, in fact, support this possibility. Previous work in this area has focused primarily on paradigms using relatively limited exposure to drug rather than extended drug intake. Objectives Here, we used the DSM-IV-based 3-criteria (3-CRIT) model and examined whether a relationship exists between sign- or goal-tracking phenotypes and the prevalence of criteria associated with addiction-like behavior following extended cocaine self-administration as measured in this model. Methods Forty-six male Sprague Dawley rats underwent a Pavlovian conditioned approach (PCA) procedure and were characterized along a continuum as goal-trackers (GTs), intermediates (INTs), or sign-trackers (STs). The animals were subsequently trained to intravenous self-administer cocaine during 45 self-administration (SA) sessions and characterized for the 3 criteria outlined in the model: persistence of drug-seeking, motivation for cocaine-taking, and resistance to punishment. Results We performed correlational analyses on the traits measured, finding no relationships between PCA score and addiction-like characteristics measured using the 3-CRIT model of addiction. However, STs showed significantly greater resistance to punishment than GTs. Conclusions Phenotyping along a continuum of PCA scores may not be a valid predictor for identifying vulnerability to the addiction-like behaviors examined using the 3-CRIT model. However, PCA phenotype may predict a single feature of the 3-CRIT model, resistance to punishment, among those rats classified as either STs or GTs.","10.1007/s00213-021-05858-z"
"87","Wei, Ping; Ji, Liyan",2021,"Reward expectation modulates N2pc for target selection: Electrophysiological evidence","In an electrophysiological experiment, we investigated the effect of reward expectation on the localized attentional interference effect using a cue-target paradigm, while event-related potentials (ERPs) were recorded. A cue indicating the reward condition of each trial (incentive vs. non-incentive) was followed by the presentation of a search array containing two target items. Participants were asked to decide whether the two shape singletons (two triangles, two rectangles, or one triangle and one rectangle) among a set of circles were the same shape. Moreover, we manipulated the distance between the two targets to be adjacent to each other (Separation 1) or further apart (Separation 3 and Separation 5). Behavioral results revealed a larger reward facilitation effect for the larger target separation conditions. The N2pc component locked to the target display exhibited an interaction between reward expectation and the distance between the two targets. For non-incentive trials, the N2pc amplitude increased as the separation between the two targets increased; however, for incentive trials, the N2pc showed comparable amplitudes in the different target separation conditions. These results indicate that reward expectation regulated attentional focus to better resolve the competition between representation and selection of the two targets for acquiring possible reward outcomes.","10.1111/psyp.13837"
"88","Pearson, Daniel; Watson, Poppy; Le Pelley, Mike E.",2021,"How do competing influences of selection history interact? A commentary on Luck et al. (2021)","Attention researchers have long debated the role that attentional control settings play in determining selection. In their article, Luck et al. (2021) have identified points of consensus among traditionally opposed models of attentional control, one of which is that prior experience (i.e., selection history) allows attentional control settings to suppress attention to salient distractors by inhibiting the attentional priority of learned distractor features and/or locations. However, the influence of prior experience on attentional priority is not exclusively inhibitory. In particular, experiencing the relationship between a stimulus feature and reward has been shown to increase that feature's attentional priority. Here, we discuss recent findings investigating how these competing influences of selection history interact, suggesting that experience-driven distractor suppression and reward independently modulate attentional selection.","10.1080/13506285.2021.1912234"
"89","Watson, Poppy; Vasudevan, Ananda; Pearson, Daniel; Le Pelley, Mike E.",2021,"Eating restraint is associated with reduced attentional capture by signals of valuable food reward","Previous paradigms used to examine attentional distraction by task-irrelevant food words and food images were not suited for the investigation of involuntary and automatic attentional capture. In the current experiments we adapted a well-established visual-search paradigm (with eye tracking) to investigate involuntary attentional capture by food and drink rewards. We first used a satiety procedure to manipulate relative preference for different food and drink outcomes (potato chips and water in Experiment 1 and popcorn and chocolate Smarties in Experiment 2). Participants then performed the visual-search task where a coloured distractor signalled on each trial which of the two food and drink rewards was available for successful identification of the target. The signalled reward was cancelled, however, if any eye gaze was registered on the distractor. Participants were therefore motivated to try and control the automatic orienting of attention towards cues signalling valuable outcomes, in order to earn those outcomes. In both experiments we found that attention was more often captured by the distractor signalling the valuable (non-sated) outcome, replicating previous studies using this paradigm with monetary rewards. We also found that those scoring high on eating restraint (as measured with the Dutch Eating Behavior Questionnaire) were better at controlling reflexive orienting of attention to desirable food rewards. This paradigm offers a novel approach for understanding how reflexive attention and control relate to conflicts in everyday life around distracting food cues, and the moderating role of dietary restraint.","10.1016/j.appet.2020.105050"
"90","Mine, Chisato; Yokoyama, Takemasa; Takeda, Yuji",2021,"Awareness is necessary for attentional biases by location-reward association","Many studies have reported attentional biases based on feature-reward associations. However, the effects of location-reward associations on attentional selection remain less well-understood. Unlike feature cases, a previous study that induced participants' awareness of the location-reward association by instructing them to look for a high-reward location has suggested the critical role of goal-driven manipulations in such associations. In this study, we investigated whether the reward effect occurred without goal-driven manipulations if participants were spontaneously aware of the location-reward association. We conducted three experiments using a visual search task that included four circles where participants received rewards; one possible target location was associated with a high reward, and another with a low reward. In Experiment 1, the target was presented among distractors, and participants had to search for the target. The results showed a faster reaction time in the high-reward rather than the low-reward locations only in participants aware of the location-reward association, even if they were not required to look for the association. Moreover, in Experiment 2, we replicated the main findings of Experiment 1, even when the target had an abrupt visual onset to restrict goal-driven manipulations. Furthermore, Experiment 3 confirmed that the effect observed in Experiment 2 could not be attributed to the initial eye position. These findings suggest that goal-driven manipulations are unnecessary for inducing reward biases to high-reward locations. We concluded that awareness of the association rather than goal-driven manipulations is crucial for the location-reward effect.","10.3758/s13414-021-02280-7"
"91","Lockhofen, Denise E. L.; Huebner, Nils; Hemdan, Fatma; Sammer, Gebhard; Henare, Dion; Schuboe, Anna; Mulert, Christoph",2021,"Differing Time Courses of Reward-Related Attentional Processing: An EEG Source-Space Analysis","Since our environment typically contains more information than can be processed at any one time due to the limited capacity of our visual system, we are bound to differentiate between relevant and irrelevant information. This process, termed attentional selection, is usually categorized into bottom-up and top-down processes. However, recent research suggests reward might also be an important factor in guiding attention. Monetary reward can bias attentional selection in favor of task-relevant targets and reduce the efficiency of visual search when a reward-associated, but task-irrelevant distractor is present. This study is the first to investigate reward-related target and distractor processing in an additional singleton task using neurophysiological measures and source space analysis. Based on previous studies, we hypothesized that source space analysis would find enhanced neural activity in regions of the value-based attention network, such as the visual cortex and the anterior cingulate. Additionally, we went further and explored the time courses of the underlying attentional mechanisms. Our neurophysiological results showed that rewarding distractors led to a stronger attentional capture. In line with this, we found that reward-associated distractors (compared with reward-associated targets) enhanced activation in frontal regions, indicating the involvement of top-down control processes. As hypothesized, source space analysis demonstrated that reward-related targets and reward-related distractors elicited activation in regions of the value-based attention network. However, these activations showed time-dependent differences, indicating that the neural mechanisms underlying reward biasing might be different for task-relevant and task-irrelevant stimuli.","10.1007/s10548-021-00827-3"
