Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Open Access,Source,EID
"Hornoiu I., Gigg J., Talmi D.","57212197786;6701525206;56067709100;","Quantifying how much attention rodents allocate to motivationally-salient objects with a novel object preference test",2020,"Behavioural Brain Research","380",,"112389","","",,3,"10.1016/j.bbr.2019.112389","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076129123&doi=10.1016%2fj.bbr.2019.112389&partnerID=40&md5=286d3211cd8f4e374f541ad8269b4f04","The allocation of attention can be modulated by the emotional value of a stimulus. In order to understand the biasing influence of emotion on attention allocation further, we require an animal test of how motivational salience modulates attention. In mice, female odour triggers arousal and elicits emotional responses in males. Here, we determined the extent to which objects labelled with female odour modulated the attention of C57BL/6J male mice. Seven experiments were conducted, using a modified version of the spontaneous Novel Object Recognition task. Attention was operationalised as differential exploration time of identical objects that were labelled with either female mouse odour (O+), a non-social odour, almond odour (Oa) or not labelled with any odour (O−). In some experiments we tested trial unique (novel) objects than never carried an odour (X−). Using this novel object preference test we found that when single objects were presented, as well as when two objects were presented simultaneously (so competed with each other for attention), O+ received preferential attention compared to O−. This result was independent of whether O+ was at a novel or familiar location. When compared with Oa at a novel location, O+ at a familiar location attracted more attention. Compared to X−, O+ received more exploration only when placed at a novel location, but attention to O+ and X− was equivalent when they were placed in a familiar location. These results suggest that C57BL/6J male mice weigh up aspects of odour, object novelty and special novelty for motivational salience, and that, in some instances, female odour elicits more attention (object exploration) compared to other object properties. The findings of this study pave the way to using motivationally-significant odours to modulate the cognitive processes that give rise to differential attention to objects. © 2019 Elsevier B.V.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85076129123
"da Costa R.Q.M., Furukawa E., Hoefle S., Moll J., Tripp G., Mattos P.","57209115587;13405382400;56503721900;7102497419;7003715759;55391681100;","An Adaptation of Pavlovian-to-Instrumental Transfer (PIT) Methodology to Examine the Energizing Effects of Reward-Predicting Cues on Behavior in Young Adults",2020,"Frontiers in Psychology","11",,"195","","",,6,"10.3389/fpsyg.2020.00195","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080092248&doi=10.3389%2ffpsyg.2020.00195&partnerID=40&md5=8486d165c2d528578ae6dcaea5112f04","There is growing recognition that much of human behavior is governed by the presence of classically conditioned cues. The Pavlovian-to-Instrumental Transfer (PIT) paradigm offers a way to measure the effects of classically conditioned stimuli on behavior. In the current study, a novel behavioral task, an adaptation of the PIT framework, was developed for use in conjunction with an fMRI classical conditioning task. Twenty-four healthy young adults completed (1) instrumental training, (2) Pavlovian conditioning, and (3) a Transfer test. During instrumental training, participants learned to apply force to a handgrip to win money from slot machines pictured on a computer screen. During Pavlovian conditioning, slot machines appeared with one of two abstract symbols (cues), one symbol was predictive of monetary reward. During the Transfer test, participants again applied force to a handgrip to win money. This time, the slot machines were presented with the Pavlovian cues, but with the outcomes hidden. The results indicated increased effort on the instrumental task, i.e. higher response frequency and greater force, in the presence of the reward-predicting cue. Our findings add to the growing number of studies demonstrating PIT effects in humans. This new paradigm is effective in measuring the effects of a conditioned stimulus on behavioral activation. © Copyright © 2020 da Costa, Furukawa, Hoefle, Moll, Tripp and Mattos.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85080092248
"Watson P., Pearson D., Theeuwes J., Most S.B., Le Pelley M.E.","55340167900;56402562600;7006932399;6601986889;6603589906;","Delayed disengagement of attention from distractors signalling reward",2020,"Cognition","195",,"104125","","",,32,"10.1016/j.cognition.2019.104125","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074905212&doi=10.1016%2fj.cognition.2019.104125&partnerID=40&md5=b6f079abaa02d72c888ec97f0eb8ac13","Attention refers to the set of cognitive mechanisms that facilitate the prioritization of incoming sensory information. Existing research suggests that motivationally salient stimuli, such as those associated with reward, are prioritized by the attention system and that this prioritization occurs independently of an observer's goals. Specifically, studies of visual search have shown that stimuli signalling the availability of monetary reward are more likely to capture eye movements, even when participants are motivated to ignore such stimuli. In the current study we ask whether reward magnitude influences only the likelihood that stimuli will capture spatial attention, or whether reward also influences the ease with which people can disengage attention from a location when they are motivated to move their attention elsewhere. Three experiments examined the time taken to disengage from a centrally presented distractor that signalled the availability of high or low reward. We found that participants took longer to move their eyes away from a high-reward distractor, even though this came at financial cost (Experiment 1), that participants were unable to suppress a high-reward distractor consistently presented at the central location (Experiment 2), that slower responding was not due to behavioural freezing in the presence of a signal of high reward (Experiment 3), and that slower responding persisted even when rewards were no longer available (Experiment 4). These results indicate that reward modulates attentional disengagement: signals of high reward hold attention for longer, even when this is counterproductive for performance of ongoing tasks. Our findings further highlight the role of reward in the conflict between automatic and goal-directed attentional processing. © 2019 Elsevier B.V.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85074905212
"Cho S.A., Cho Y.S.","57202732573;7404469203;","Attentional Orienting by Non-informative Cue Is Shaped via Reinforcement Learning",2020,"Frontiers in Psychology","10",,"2884","","",,1,"10.3389/fpsyg.2019.02884","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078749136&doi=10.3389%2ffpsyg.2019.02884&partnerID=40&md5=ca8c8f541c515734203d874d8b8e862a","It has been demonstrated that a reward-associated stimulus feature captures attention involuntarily. The present study tested whether spatial attentional orienting is biased via reinforcement learning. Participants were to identify a target stimulus presented in one of two placeholders, preceded by a non-informative arrow cue at the center of the display. Importantly, reward was available when the target occurred at a location cued by a reward cue, defined as a specific color (experiments 1 and 3) or a color–direction combination (experiment 2). The attentional bias of the reward cue was significantly increased as trials progressed, resulting in a greater cue-validity effect for the reward cue than the no-reward cue. This attentional bias was still evident even when controlling for the possibility that the incentive salience of the reward cue color modulates the cue-validity effect (experiment 2) or when the reward was withdrawn after reinforcement learning (experiment 3). However, it disappeared when the reward was provided regardless of cue validity (experiment 4), implying that the reinforcement contingency between reward and attentional orienting is a critical determinant of reinforcement learning-based spatial attentional modulation. Our findings highlight that a spatial attentional bias is shaped by value via reinforcement learning. © Copyright © 2020 Cho and Cho.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85078749136
"Chao C.-M., McGregor A., Sanderson D.J.","57926488300;7102812045;7101657753;","Uncertainty and predictiveness modulate attention in human predictive learning.",2020,"Journal of Experimental Psychology: General",,,,"","",,5,"10.1037/xge0000991","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103496520&doi=10.1037%2fxge0000991&partnerID=40&md5=8ddbade4d1d50f9ae8791f7e44de6606","Attention determines which cues receive processing and are learned about. Learning, however, leads to attentional biases. In the study of animal learning, in some circumstances, cues that have been previously predictive of their consequences are subsequently learned about more than are nonpredictive cues, suggesting that they receive more attention. In other circumstances, cues that have previously led to uncertain consequences are learned about more than are predictive cues. In human learning, there is a clear role for predictiveness, but a role for uncertainty has been less clear. Here, in a human learning task, we show that cues that led to uncertain outcomes were subsequently learned about more than were cues that were previously predictive of their outcomes. This effect occurred when there were few uncertain cues. When the number of uncertain cues was increased, attention switched to predictive cues. This pattern of results was found for cues (1) that were uncertain because they led to 2 different outcomes equally often in a nonpredictable manner and (2) that were used in a nonlinear discrimination and were not predictive individually but were predictive in combination with other cues. This suggests that both the opposing predictiveness and uncertainty effects were determined by the relationship between individual cues and outcomes rather than the predictive strength of combined cues. These results demonstrate that learning affects attention; however, the precise nature of the effect on attention depends on the level of task complexity, which reflects a potential switch between exploration and exploitation of cues. (PsycInfo Database Record (c) 2020 APA, all rights reserved) © 2020 American Psychological Association",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85103496520
"Sisk C.A., Remington R.W., Jiang Y.V.","57203188446;7006247055;35279609200;","A Spatial Bias Toward Highly Rewarded Locations Is Associated With Awareness",2020,"Journal of Experimental Psychology: Learning Memory and Cognition","46","4",,"669","683",,11,"10.1037/xlm0000749","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082978877&doi=10.1037%2fxlm0000749&partnerID=40&md5=713c65a18d8795bf77bf72d7ca27e943","Mounting evidence suggests that monetary reward induces an incidentally learned selection bias toward highly rewarded features. It remains controversial, however, whether learning of reward regularities has similar effects on spatial attention. Here we ask whether spatial biases toward highly rewarded locations are learned implicitly, or are instead associated with explicit knowledge of reward structure. Participants completed a hybrid search and choice task involving multiple targets among multiple distractors. Targets garnered varying magnitudes of reward, and participants were instructed to search for targets and guess and click on the 1 that they thought would yield the highest reward. Unbeknownst to participants, 1 side of the display offered higher reward than the other. We measured the spatial bias for targets on the high-reward side of the screen and probed explicit awareness via a multiquestion interview. Participants who were aware of the reward structure (N = 48) showed a selection bias for targets appearing on the high-reward side of the screen. Contrary to previous findings, unaware participants (N = 24) showed only a significant central bias, despite spending just as much time on the task. The strong association between explicit awareness and reward-driven spatial attention in this paradigm suggests that instead of directly affecting the attentional priority map, probabilistic spatial reward learning more frequently affects attention indirectly by modulating task goals. © 2019 American Psychological Association",Article,"Final","",Scopus,2-s2.0-85082978877
"Pearson D., Watson P., Cheng P.X., Le Pelley M.E.","56402562600;55340167900;59107662300;6603589906;","Overt attentional capture by reward-related stimuli overcomes inhibitory suppression.",2020,"Journal of Experimental Psychology: Human Perception and Performance","46","5",,"489","501",,24,"10.1037/xhp0000728","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082652336&doi=10.1037%2fxhp0000728&partnerID=40&md5=b99d99f89ae7806d61e735e3d73ddd6c","Salient-but-irrelevant distractors can automatically capture attention and eye-gaze in visual search. However, recent findings have suggested that attention to salient-but-irrelevant stimuli can be suppressed when observers use a specific target template to guide their search (i.e., feature search). A separate line of research has indicated that attentional selection is influenced by factors other than the physical salience of a stimulus and the observer’s goals. For instance, pairing a stimulus with reward has been shown to increase the extent to which it captures attention and gaze (as though it has become more physically salient), even when such capture has negative consequences for the observer. Here we used eye-tracking with a rewarded visual search task to investigate whether capture by reward can be suppressed in the same way as capture by physical salience. When participants were encouraged to use feature search, attention to a distractor paired with relatively small reward was suppressed. However, under the same conditions attention was captured by a distractor paired with large reward, even when such capture resulted in reward omission. These findings suggest that reward-related stimuli are given special priority within the visual attention system over and above physically salient stimuli, and have implications for our understanding of real-world biases to reward-related stimuli, such as those seen in addiction. (PsycInfo Database Record (c) 2020 APA, all rights reserved) © 2020 American Psychological Association",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85082652336
"Hollingworth A., Bahle B.","7003438163;57194187535;","Eye tracking in visual search experiments",2020,"Neuromethods","151",,,"23","35",,16,"10.1007/7657_2019_30","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078525108&doi=10.1007%2f7657_2019_30&partnerID=40&md5=51210d3b7baa4596a9d1be608a24b3bb","Over the last 30 years, eye tracking has grown in popularity as a method to understand attention during visual search, principally because it provides a means to characterize the spatiotemporal properties of selective operations across a trial. In the present chapter, we review the motivations, methods, and measures for using eye tracking in visual search experiments. This includes a discussion of the advantages (and some disadvantages) of eye tracking data as a measure spatial attention, compared with more traditional reaction time paradigms. In addition, we discuss stimulus and design considerations for implementing experiments of this type. Finally, we will discuss the major measures that can be extracted from an eye tracking record and discuss the inferences that each allow. In the course of this discussion, we address both experiments using abstract arrays and experiments using real-world scene stimuli. © 2019, Springer Science+Business Media, LLC.",Book Chapter,"Final","",Scopus,2-s2.0-85078525108
"Britton M.K., Anderson B.A.","57209885205;36058352000;","Specificity and Persistence of Statistical Learning in Distractor Suppression",2020,"Journal of Experimental Psychology: Human Perception and Performance","46","3",,"324","334",,48,"10.1037/xhp0000718","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077235852&doi=10.1037%2fxhp0000718&partnerID=40&md5=af04107f7b1c83611545880660254323","Statistical regularities in distractor location trigger suppression of high-probability distractor locations during visual search. The degree to which such suppression reflects generalizable, persistent changes in a spatial priority map has not been examined. We demonstrate that suppression of high-probability distractor locations persists after location probabilities are equalized and likely reflects a genuine reshaping of the priority map rather than more transient effects of selection history. Statistically learned suppression generalizes across contexts within a task during learning but does not generalize between task paradigms using unrelated stimuli in identical spatial locations. These findings suggest that stimulus features do play a role in learned spatial suppression, potentially gating the weights applied to a spatial priority map. However, the binding of location to context during learning is not automatic, in contrast to the previously reported interaction of location-based statistical learning and stimulus features. © 2019 American Psychological Association",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85077235852
"Watson P., Pearson D., Most S.B., Theeuwes J., Wiers R.W., Le Pelley M.E.","55340167900;56402562600;6601986889;7006932399;6701516741;6603589906;","Attentional capture by Pavlovian reward-signalling distractors in visual search persists when rewards are removed",2019,"PLoS ONE","14","12","e0226284","","",,31,"10.1371/journal.pone.0226284","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076430692&doi=10.1371%2fjournal.pone.0226284&partnerID=40&md5=2b21e18a7d62964741aefbe82e14a64a","Existing research indicates that learning about the Pavlovian ‘signal value’ of stimuli can induce attentional biases: findings suggest that our attentional system prioritises detection of stimuli that have previously signalled availability of high reward. These findings potentially provide a human analogue of sign-tracking behaviour previously reported in studies of nonhuman animals. Here we examine a visual search task that has been developed to demonstrate the Pavlovian influence of reward on attention, in which the critical reward-signalling stimuli are never explicit targets of search. This procedure has previously yielded robust effects of reward on attention; however it remains unclear whether this pattern reflects a persistent and automatic bias in attentional capture based on prior experience of stimulus–reward pairings, or whether it results from participants strategically attending to reward-signalling distractors because they provide useful information about reward magnitude. To investigate this issue, in the current study participants initially completed a rewarded visual search task, in which colours of distractor stimuli signalled availability of high or low reward. Participants then completed a test phase in which rewards were no longer available, such that distractor colours no longer provided useful information on reward availability. Performance during the initial rewarded phase was impaired by the presence of a distractor signalling availability of high relative to low reward. Crucially, the magnitude of this reward-related distraction effect did not reduce in the subsequent unrewarded test phase. This suggests that participants’ experience of differences in reward value signalled by distractor stimuli in this task can induce persistent biases in the extent to which these stimuli involuntarily capture attention, even when they are entirely task-irrelevant. © 2019 Watson et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85076430692
"Pietrock C., Ebrahimi C., Katthagen T.M., Koch S.P., Heinz A., Rothkirch M., Schlagenhauf F.","57203758820;57194324906;56730890200;56623894100;57201513357;40462385400;11140368800;","Pupil dilation as an implicit measure of appetitive Pavlovian learning",2019,"Psychophysiology","56","12","e13463","","",,20,"10.1111/psyp.13463","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070817961&doi=10.1111%2fpsyp.13463&partnerID=40&md5=054afe2bd4bbc4eb0000742058d6b4a2","Appetitive Pavlovian conditioning is a learning mechanism of fundamental biological and pathophysiological significance. Nonetheless, its exploration in humans remains sparse, which is partly attributed to the lack of an established psychophysiological parameter that aptly represents conditioned responding. This study evaluated pupil diameter and other ocular response measures (gaze dwelling time, blink duration and count) as indices of conditioning. Additionally, a learning model was used to infer participants’ learning progress on the basis of their pupil dilation. Twenty-nine healthy volunteers completed an appetitive differential delay conditioning paradigm with a primary reward, while the ocular response measures along with other psychophysiological (heart rate, electrodermal activity, postauricular and eyeblink reflex) and behavioral (ratings, contingency awareness) parameters were obtained to examine the relation among different measures. A significantly stronger increase in pupil diameter, longer gaze duration and shorter eyeblink duration was observed in response to the reward-predicting cue compared to the control cue. The Pearce-Hall attention model best predicted the trial-by-trial pupil diameter. This conditioned response was corroborated by a pronounced heart rate deceleration to the reward-predicting cue, while no conditioning effect was observed in the electrodermal activity or startle responses. There was no discernible correlation between the psychophysiological response measures. These results highlight the potential value of ocular response measures as sensitive indices for representing appetitive conditioning. © 2019 The Authors. Psychophysiology published by Wiley Periodicals, Inc. on behalf of Society for Psychophysiological Research",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85070817961
"Albertella L., Watson P., Yücel M., Le Pelley M.E.","15025915100;55340167900;7006258831;6603589906;","Persistence of value-modulated attentional capture is associated with risky alcohol use",2019,"Addictive Behaviors Reports","10",,"100195","","",,41,"10.1016/j.abrep.2019.100195","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067309087&doi=10.1016%2fj.abrep.2019.100195&partnerID=40&md5=9f905fd626d594f05630f8dba62c684b","Background: This study examined how risky patterns of alcohol use might be related to the persistence of learned attentional capture during reversal of stimulus–reward contingencies. Methods: Participants were 122 healthy adults (mean age 21 years, 66% female) who completed an assessment including a visual search task to measure value-modulated attentional capture, with a reversal phase following a period of initial training. The assessment also included questions about alcohol use. Results: Overall, attentional capture was greater for distractors associated with high reward than for those associated with low reward, replicating previous findings of value-modulated attentional capture. When stimulus–reward contingencies were reversed, a higher persistence of learned attentional capture was associated with risky patterns of alcohol use. Conclusion: This result highlights how value-modulated attentional capture may persist and is associated with risky alcohol use in a non-clinical sample. Future research (potentially with clinical samples of heavy drinkers) aimed towards understanding the mechanisms that drive these reversal deficits, and their relation to other compulsive behaviours, may provide important insights into the development and maintenance of addictive behaviours. © 2019",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85067309087
"Heuer A., Wolf C., Schütz A.C., Schubö A.","57052361000;56806258700;21743919300;6603198455;","The possibility to make choices modulates feature-based effects of reward",2019,"Scientific Reports","9","1","5749","","",,3,"10.1038/s41598-019-42255-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064048209&doi=10.1038%2fs41598-019-42255-1&partnerID=40&md5=c75c1cf3b6d6a5cc59dc32b0088f9550","When making decisions, humans can maximize the positive outcome of their actions by choosing the option associated with the highest reward. We have recently shown that choices modulate effects of reward via a bias in spatial attention: Locations associated with a lower reward are anticipatorily suppressed, as indicated by delayed responses to low-reward targets and increased parieto-occipital alpha power. Here, we investigated whether this inhibition also occurs when reward is not coupled to location but to a nonspatial feature (color). We analyzed reaction times to single targets associated with a low or high reward as a function of whether a second trial type, choice-trials, were interleaved. In choice-trials, participants could choose either one of two targets to obtain the associated reward. Indeed, responses to low-reward targets were slower when choice-trials were present, magnifying the influence of reward, and this delay was more pronounced in trials immediately following a choice. No corresponding changes in parieto-occipital alpha power were observed, but the behavioral findings suggest that choices modulate a reward-related bias in feature-based attention in a similar manner as for spatial attention, and support the idea that reward primarily affects behaviour when it is of immediate relevance. © 2019, The Author(s).",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85064048209
"Anderson B.A., Britton M.K.","36058352000;57209885205;","Selection history in context: Evidence for the role of reinforcement learning in biasing attention",2019,"Attention, Perception, and Psychophysics","81","8",,"2666","2672",,19,"10.3758/s13414-019-01817-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069004200&doi=10.3758%2fs13414-019-01817-1&partnerID=40&md5=55fe14fd025bdb9226d3a5b473536f22","Attention is biased towards learned predictors of reward. The influence of reward history on attentional capture has been shown to be context-specific: When particular stimulus features are associated with reward, these features only capture attention when viewed in the context in which they were rewarded. Selection history can also bias attention, such that prior target features gain priority independently of reward history. The contextual specificity of this influence of selection history on attention has not been examined. In the present study, we demonstrate that the consequences of repetitive selection on attention robustly generalize across context, such that prior target features capture attention even in contexts in which they were never seen previously. Our findings suggest that the learning underlying attention driven by outcome-independent selection history differs qualitatively from the learning underlying value-driven attention, consistent with a distinction between associative and reinforcement learning mechanisms. © 2019, The Psychonomic Society, Inc.",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85069004200
"Jiang Y.V., Sisk C.A.","35279609200;57203188446;","Habit-like attention",2019,"Current Opinion in Psychology","29",,,"65","70",,37,"10.1016/j.copsyc.2018.11.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057712888&doi=10.1016%2fj.copsyc.2018.11.014&partnerID=40&md5=adc65b465e6ac57a015c4b64d973a17b","The control of selective attention is traditionally considered to be either goal-driven or stimulus-driven. Increasing research, however, has linked past experience to attentional selection. Effects of selection history may be transient, as in inter-trial priming, or durable. Here we review several examples of enduring changes of attention and relate them to properties of habits. Like motor habits, reading direction is reinforced over an extended period of time. Despite the brevity of training, probability learning, context learning, value-driven attention, and learned attentional set also exhibit habit-like properties, including automaticity, insensitivity to outcome devaluation, and inflexibility. A consideration of whether a selection history effect is habit-like may help taxonomize diverse forms of experience-driven attention. © 2018 Elsevier Ltd",Review,"Final","",Scopus,2-s2.0-85057712888
"Anderson B.A.","36058352000;","Neurobiology of value-driven attention",2019,"Current Opinion in Psychology","29",,,"27","33",,72,"10.1016/j.copsyc.2018.11.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056817173&doi=10.1016%2fj.copsyc.2018.11.004&partnerID=40&md5=17a37aae68893323f826009977e4f234","What we pay attention to is influenced by reward learning. Converging evidence points to the idea that associative reward learning changes how visual stimuli are processed in the brain, rendering learned reward cues difficult to ignore. Behavioral evidence distinguishes value-driven attention from other established control mechanisms, suggesting a distinct underlying neurobiological process. Recently, studies have begun to explore the neural substrates of this value-driven attention mechanism. Here, I review the progress that has been made in this area, and synthesize the findings to provide an integrative account of the neurobiology of value-driven attention. The proposed account can explain both attentional capture by previously rewarded targets and the modulatory effect of reward on priming, as well as the decoupling of reward history and prior task relevance in value-driven attention. © 2018 Elsevier Ltd",Review,"Final","",Scopus,2-s2.0-85056817173
"Alfandari D., Belopolsky A.V., Olivers C.N.L.","57204146040;6602139967;6603803862;","Eye movements reveal learning and information-seeking in attentional template acquisition",2019,"Visual Cognition","27","5-8",,"467","486",,10,"10.1080/13506285.2019.1636918","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076584490&doi=10.1080%2f13506285.2019.1636918&partnerID=40&md5=bb3594f5da039196392eaff60aaf7666","Visual attention serves to select relevant visual information. However, observers often first need to find out what is relevant. Little is known about this information-seeking process and how it affects attention. We employed a cued visual search task in combination with eye tracking to investigate which oculomotor measures reflect the acquisition of information for a subsequent task. A cue indicated as to which target to look for in a following search display. Cue-target combinations were repeated several times, enabling learning of the target. We found that reductions in cue fixation times and saccade size provided stable indices of learning. Despite the learning, participants continued to attend to repeated cues. Several factors contribute to people attending to information they already know: First, the information value provided by the cue continues to drive attention. Second, even in the absence of information value, attention continues to be directed to cue features that previously signalled relevant information. Third, the decision to attend to a known cue depends on cognitive effort. We propose that this combination of information value, previous relevance, and effort is best captured within an information-seeking framework, and that oculomotor parameters provide a useful proxy for uncovering these factors and their interactions. © 2019, © 2019 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85076584490
"Wang L., Chang W., Krebs R.M., Boehler C.N., Theeuwes J., Zhou X.","55751729400;57203658332;36793244200;57193559505;7006932399;36116357700;","Neural Dynamics of Reward-Induced Response Activation and Inhibition",2019,"Cerebral Cortex","29","9",,"3961","3976",,16,"10.1093/cercor/bhy275","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075847411&doi=10.1093%2fcercor%2fbhy275&partnerID=40&md5=b74d6bc60b060fcedf4243300f165700","Reward-predictive stimuli can increase an automatic response tendency, which needs to be counteracted by effortful response inhibition when this tendency is inappropriate for the current task. Here we investigated how the human brain implements this dynamic process by adopting a reward-modulated Simon task while acquiring EEG and fMRI data in separate sessions. In the Simon task, a lateral target stimulus triggers an automatic response tendency of the spatially corresponding hand, which needs to be overcome if the activated hand is opposite to what the task requires, thereby delaying the response. We associated high or low reward with different targets, the location of which could be congruent or incongruent with the correct response hand. High-reward targets elicited larger Simon effects than low-reward targets, suggesting an increase in the automatic response tendency induced by the stimulus location. This tendency was accompanied by modulations of the lateralized readiness potential over the motor cortex, and was inhibited soon after if the high-reward targets were incongruent with the correct response hand. Moreover, this process was accompanied by enhanced theta oscillations in medial frontal cortex and enhanced activity in a frontobasal ganglia network. With dynamical causal modeling, we further demonstrated that the connection from presupplementary motor area (pre-SMA) to right inferior frontal cortex (rIFC) played a crucial role in modulating the reward-modulated response inhibition. Our results support a dynamic neural model of reward-induced response activation and inhibition, and shed light on the neural communication between reward and cognitive control in generating adaptive behaviors. © 2018 The Author(s).",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85075847411
"Gutiérrez-Cobo M.J., Luque D., Most S.B., Fernández-Berrocal P., Le Pelley M.E.","57189590991;24366641600;6601986889;6603121863;6603589906;","Reward and emotion influence attentional bias in rapid serial visual presentation",2019,"Quarterly Journal of Experimental Psychology","72","9",,"2155","2167",,8,"10.1177/1747021819840615","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071347257&doi=10.1177%2f1747021819840615&partnerID=40&md5=120f21fc59ae651f710e3c67fcc42e0d","Facial emotion constitutes an important source of information, and rapid processing of this information may bring adaptive advantages. Previous evidence suggests that emotional faces are sometimes prioritised for cognitive processing. Three experiments used an emotion-induced blindness task to examine whether this prioritisation occurs in a purely stimulus-driven fashion or whether it emerges only when the faces are task-relevant. Angry or neutral faces appeared as distractors in a rapid serial visual presentation sequence, shortly before a target that participants were required to identify. Either the emotion (Experiment 1) or gender (Experiments 2 and 3) of the distractor face indicated whether a correct/incorrect response to the target would produce reward/punishment, or not. The three experiments found that reward-related faces impaired subsequent target identification, replicating previous results. Target identification accuracy was also impaired following angry faces, compared with neutral faces, demonstrating an emotion-induced attentional bias. Importantly, this impairment was observed even when face emotion was entirely irrelevant to the participants’ ongoing task (in Experiments 2 and 3), suggesting that rapid processing of the facial emotion might arise (at least in part) from the operation of relatively automatic cognitive–perceptual processes. © Experimental Psychology Society 2019.",Article,"Final","",Scopus,2-s2.0-85071347257
"Albertella L., Le Pelley M.E., Chamberlain S.R., Westbrook F., Fontenelle L.F., Segrave R., Lee R., Pearson D., Yücel M.","15025915100;6603589906;24723599200;7006765953;55382768500;8621230000;54385436600;56402562600;7006258831;","Reward-related attentional capture is associated with severity of addictive and obsessive-compulsive behaviors",2019,"Psychology of Addictive Behaviors","33","5",,"495","502",,58,"10.1037/adb0000484","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070505783&doi=10.1037%2fadb0000484&partnerID=40&md5=cc9e714a5e9d8ecff95034bf3c857b5a","A cue that signals reward can capture attention and elicit approach behaviors in people and animals. The current study examined whether attentional capture by reward-related cues is associated with severity of addiction-related and obsessive-compulsive behaviors. Participants were recruited via Mechanical Turk and included 143 adults (Mage = 34 years, SD = 8.5; 43% female) who had endorsed at least 1 addiction-related or obsessive-compulsive behavior in the past month. All assessment components were delivered via the Internet and included questionnaires to assess severity of compulsivity-related problems across addictionrelated and obsessive-compulsive behaviors, as well as a visual search task to measure reward-related attentional capture. Reward-related attentional capture was associated with severity of compulsivity, transdiagnostically. These findings have implications for understanding the mechanisms that underlie compulsive behaviors and suggest that reward-related attentional capture is a promising transdiagnostic cognitive risk marker for compulsivity. © 2018 American Psychological Association.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85070505783
